"step","time","S","I","R"
0,0,1e+05,10,0
1,1,99998,10,2
2,2,99995,11,4
3,3,99993,12,5
4,4,99993,11,6
5,5,99993,11,6
6,6,99992,12,6
7,7,99989,15,6
8,8,99989,15,6
9,9,99984,20,6
10,10,99981,20,9
11,11,99979,21,10
12,12,99978,22,10
13,13,99976,23,11
14,14,99971,28,11
15,15,99964,31,15
16,16,99962,32,16
17,17,99958,33,19
18,18,99950,37,23
19,19,99944,37,29
20,20,99930,44,36
21,21,99917,56,37
22,22,99904,62,44
23,23,99892,69,49
24,24,99877,78,55
25,25,99864,80,66
26,26,99846,92,72
27,27,99821,106,83
28,28,99795,122,93
29,29,99775,132,103
30,30,99757,133,120
31,31,99731,147,132
32,32,99699,166,145
33,33,99657,190,163
34,34,99622,212,176
35,35,99586,223,201
36,36,99552,237,221
37,37,99500,265,245
38,38,99454,288,268
39,39,99394,311,305
40,40,99324,361,325
41,41,99245,411,354
42,42,99170,452,388
43,43,99078,505,427
44,44,98972,560,478
45,45,98867,611,532
46,46,98731,694,585
47,47,98587,785,638
48,48,98423,868,719
49,49,98251,946,813
50,50,98037,1062,911
51,51,97832,1166,1012
52,52,97615,1271,1124
53,53,97367,1385,1258
54,54,97086,1534,1390
55,55,96787,1697,1526
56,56,96470,1853,1687
57,57,96140,2038,1832
58,58,95773,2198,2039
59,59,95362,2407,2241
60,60,94896,2653,2461
61,61,94423,2876,2711
62,62,93917,3104,2989
63,63,93381,3340,3289
64,64,92782,3631,3597
65,65,92114,3948,3948
66,66,91360,4325,4325
67,67,90557,4729,4724
68,68,89695,5101,5214
69,69,88838,5455,5717
70,70,87896,5894,6220
71,71,86845,6354,6811
72,72,85766,6848,7396
73,73,84602,7351,8057
74,74,83338,7910,8762
75,75,82073,8444,9493
76,76,80732,8959,10319
77,77,79346,9532,11132
78,78,77834,10118,12058
79,79,76290,10673,13047
80,80,74715,11264,14031
81,81,73104,11823,15083
82,82,71443,12362,16205
83,83,69727,12932,17351
84,84,67981,13446,18583
85,85,66107,14035,19868
86,86,64202,14655,21153
87,87,62441,14982,22587
88,88,60625,15442,23943
89,89,58770,15812,25428
90,90,56859,16158,26993
91,91,55099,16383,28528
92,92,53367,16597,30046
93,93,51616,16786,31608
94,94,49880,16966,33164
95,95,48217,17011,34782
96,96,46586,16997,36427
97,97,44978,16944,38088
98,98,43498,16856,39656
99,99,42103,16651,41256
100,100,40734,16391,42885
101,101,39421,16163,44426
102,102,38113,15996,45901
103,103,36849,15736,47425
104,104,35724,15351,48935
105,105,34593,15006,50411
106,106,33517,14680,51813
107,107,32541,14226,53243
108,108,31601,13781,54628
109,109,30722,13304,55984
110,110,29944,12796,57270
111,111,29132,12390,58488
112,112,28413,11978,59619
113,113,27735,11477,60798
114,114,27123,10982,61905
115,115,26534,10560,62916
116,116,25967,10165,63878
117,117,25442,9675,64893
118,118,24932,9259,65819
119,119,24461,8853,66696
120,120,24057,8400,67553
